mechanism	gene_or_pathway	evidence_type	evidence_tier	resources_supporting	artifact_risk	biological_interpretation	relevance_to_aging_longevity	translational_relevance	required_validation	claim_language_guardrail
Antioxidant response	KEAP1	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Artifact/uncertain	SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	moderate;low_reference_mapping_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_high	Do not claim biologically; evidence is incomplete or artifact-prone. Phase 7e records cautious retina-specific expression detection for KEAP1 in 3/3 quantified runs (median TPM 3.447454). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Artifact/uncertain and classifies this candidate as ARTIFACT_UNCERTAIN_DO_NOT_CLAIM_BIOLOGICALLY with high artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
Antioxidant response	SOD2	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	moderate;moderate_isoform_summarization_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_moderate	Plausible but incomplete computational evidence. Phase 7e records cautious retina-specific expression detection for SOD2 in 3/3 quantified runs (median TPM 57.015410). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with moderate artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
Mitochondrial biology and metabolism	PARK2	candidate_presence_or_not_assessed;phase8a_expression_not_interpretable;phase8b_final_tier_audit	Artifact/uncertain	results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	not_assessable;high_reference_mapping_uncertainty;low_mapping_rate_caveat;very_low_mapping_rate_caveat;expression_not_interpretable_current_reference;phase8b_artifact_risk_high	Do not claim biologically; evidence is incomplete or artifact-prone. Phase 7e marks PARK2 expression as not interpretable under the current reference and validation state. Phase 8b final audit retains Artifact/uncertain and classifies this candidate as ARTIFACT_UNCERTAIN_DO_NOT_CLAIM_BIOLOGICALLY with high artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	ANNOTATION_UNCERTAINTY: do not infer absence;validate with reciprocal similarity searches, protein-to-genome alignment, and manual annotation review.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
Mitochondrial biology and metabolism	PINK1	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	low;low_reference_mapping_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_low	Plausible but incomplete computational evidence. Phase 7e records cautious retina-specific expression detection for PINK1 in 3/3 quantified runs (median TPM 220.084049). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with low artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
Mitochondrial biology and metabolism	TFAM	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	low;low_reference_mapping_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_low	Plausible but incomplete computational evidence. Phase 7e records cautious retina-specific expression detection for TFAM in 3/3 quantified runs (median TPM 62.293947). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with low artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
Immune and inflammatory regulation	TLR3	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	low;low_reference_mapping_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_low	Plausible but incomplete computational evidence. Phase 7e records cautious retina-specific expression detection for TLR3 in 3/3 quantified runs (median TPM 7.742604). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with low artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
Immune and inflammatory regulation	TLR4	candidate_presence_or_not_assessed;phase8a_expression_not_interpretable;phase8b_final_tier_audit	Artifact/uncertain	results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	not_assessable;high_reference_mapping_uncertainty;low_mapping_rate_caveat;very_low_mapping_rate_caveat;expression_not_interpretable_current_reference;phase8b_artifact_risk_high	Do not claim biologically; evidence is incomplete or artifact-prone. Phase 7e marks TLR4 expression as not interpretable under the current reference and validation state. Phase 8b final audit retains Artifact/uncertain and classifies this candidate as ARTIFACT_UNCERTAIN_DO_NOT_CLAIM_BIOLOGICALLY with high artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	ANNOTATION_UNCERTAINTY: do not infer absence;validate with reciprocal similarity searches, protein-to-genome alignment, and manual annotation review.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
Immune and inflammatory regulation	TNF	candidate_presence_or_not_assessed;phase8a_expression_not_interpretable;phase8b_final_tier_audit	Artifact/uncertain	results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	not_assessable;high_reference_mapping_uncertainty;low_mapping_rate_caveat;very_low_mapping_rate_caveat;expression_not_interpretable_current_reference;phase8b_artifact_risk_high	Do not claim biologically; evidence is incomplete or artifact-prone. Phase 7e marks TNF expression as not interpretable under the current reference and validation state. Phase 8b final audit retains Artifact/uncertain and classifies this candidate as ARTIFACT_UNCERTAIN_DO_NOT_CLAIM_BIOLOGICALLY with high artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	ANNOTATION_UNCERTAINTY: do not infer absence;validate with reciprocal similarity searches, protein-to-genome alignment, and manual annotation review.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
Immune and inflammatory regulation	LRRFIP1	candidate_presence_or_not_assessed;phase8a_expression_not_interpretable;phase8b_final_tier_audit	Artifact/uncertain	results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	not_assessable;high_reference_mapping_uncertainty;low_mapping_rate_caveat;very_low_mapping_rate_caveat;expression_not_interpretable_current_reference;phase8b_artifact_risk_high	Do not claim biologically; evidence is incomplete or artifact-prone. Phase 7e marks LRRFIP1 expression as not interpretable under the current reference and validation state. Phase 8b final audit retains Artifact/uncertain and classifies this candidate as ARTIFACT_UNCERTAIN_DO_NOT_CLAIM_BIOLOGICALLY with high artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	ANNOTATION_UNCERTAINTY: do not infer absence;validate with reciprocal similarity searches, protein-to-genome alignment, and manual annotation review.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
Proteostasis and autophagy	HSPA8	candidate_presence_or_not_assessed;phase8a_expression_not_interpretable;phase8b_final_tier_audit	Artifact/uncertain	results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	not_assessable;high_reference_mapping_uncertainty;low_mapping_rate_caveat;very_low_mapping_rate_caveat;expression_not_interpretable_current_reference;phase8b_artifact_risk_high	Do not claim biologically; evidence is incomplete or artifact-prone. Phase 7e marks HSPA8 expression as not interpretable under the current reference and validation state. Phase 8b final audit retains Artifact/uncertain and classifies this candidate as ARTIFACT_UNCERTAIN_DO_NOT_CLAIM_BIOLOGICALLY with high artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	ANNOTATION_UNCERTAINTY: do not infer absence;validate with reciprocal similarity searches, protein-to-genome alignment, and manual annotation review.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
Proteostasis and autophagy	HSP90AA1	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	moderate;moderate_isoform_summarization_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_moderate	Plausible but incomplete computational evidence. Phase 7e records cautious retina-specific expression detection for HSP90AA1 in 3/3 quantified runs (median TPM 451.888734). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with moderate artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
